continent,location,Cases,T_Deaths,T_Vaccinations,Deaths,Vaccinations,n,Fatality,v
Europe,Vatican,15816,0,0,0,0,1,0,1
Oceania,Marshall Islands,2031,0,0,0,0,1,0,1
Oceania,Micronesia (country),399,0,0,0,0,1,0,1
North America,Saint Pierre and Miquelon,51284,23,0,2.30E-06,0,1,0.044848,1
Oceania,Palau,80860,53,0,5.30E-06,0,1,0.065545,1
Africa,Eritrea,2442828,15119,0,0.0015119,0,1,0.618914,1
South America,Falkland Islands,31416,0,14163,0,0.00014163,1,0,1
Africa,Saint Helena,1962,0,24233,0,0.00024233,1,0,1
North America,Bonaire Sint Eustatius and Saba,891488,6660,43236,0.000666,0.00043236,1,0.747066,1
Africa,Burundi,5441202,9229,82857,0.0009229,0.00082857,1,0.169613,1
North America,Montserrat,20568,687,83449,6.87E-05,0.00083449,2,3.34014,1
Oceania,Cook Islands,362,0,313870,0,0.0031387,1,0,1
Oceania,Wallis and Futuna,155779,2268,326855,0.0002268,0.00326855,2,1.455909,1
North America,Anguilla,251837,652,649208,6.52E-05,0.00649208,1,0.258898,1
Oceania,Kiribati,51783,101,756535,1.01E-05,0.00756535,1,0.195045,1
North America,Turks and Caicos Islands,1274731,9223,811177,0.0009223,0.00811177,1,0.723525,1
Europe,Monaco,1477870,14181,867304,0.0014181,0.00867304,1,0.959557,1
North America,British Virgin Islands,796808,9213,995344,0.0009213,0.00995344,2,1.156238,1
Africa,Djibouti,5892064,72295,1176464,0.0072295,0.01176464,2,1.226989,1
Oceania,Tonga,2652,0,1826899,0,0.01826899,1,0,1
Europe,Andorra,7552401,67964,2001942,0.0067964,0.02001942,1,0.899899,1
Oceania,Vanuatu,1830,309,2026013,3.09E-05,0.02026013,4,16.885246,1
Africa,Sao Tome and Principe,1427556,21174,2291309,0.0021174,0.02291309,2,1.483234,1
North America,Grenada,1274555,30936,2536192,0.0030936,0.02536192,2,2.4272,1
North America,Dominica,1118474,6227,2834979,0.0006227,0.02834979,1,0.556741,1
North America,Saint Kitts and Nevis,619440,4532,2938535,0.0004532,0.02938535,1,0.731629,1
North America,Saint Vincent and the Grenadines,1397139,13695,2980858,0.0013695,0.02980858,1,0.980217,1
Oceania,Solomon Islands,112908,1237,3536055,0.0001237,0.03536055,2,1.095582,1
Europe,San Marino,2694664,49130,3662729,0.004913,0.03662729,2,1.823233,1
North America,Haiti,9723532,248313,3775423,0.0248313,0.03775423,2,2.553733,1
North America,Bermuda,1660056,24715,3882379,0.0024715,0.03882379,2,1.488805,1
Oceania,Samoa,2230,0,4810126,0,0.04810126,1,0,1
Africa,Lesotho,7101029,187557,5258013,0.0187557,0.05258013,2,2.641265,1
Africa,South Sudan,5201671,58866,5354047,0.0058866,0.05354047,2,1.131675,1
Africa,Gambia,3766857,119493,5757966,0.0119493,0.05757966,2,3.17222,1
Africa,Chad,2358596,89403,5919392,0.0089403,0.05919392,2,3.790518,1
North America,Greenland,632979,288,6086336,2.88E-05,0.06086336,1,0.045499,1
Africa,Gabon,13227770,86449,6320121,0.0086449,0.06320121,1,0.653542,1
North America,Antigua and Barbuda,1045269,26305,6465262,0.0026305,0.06465262,2,2.516577,1
Africa,Central African Republic,4682438,49831,6829005,0.0049831,0.06829005,2,1.064211,1
North America,Bahamas,7806700,186292,7201795,0.0186292,0.07201795,2,2.386309,1
Africa,Seychelles,6756087,31521,7725179,0.0031521,0.07725179,1,0.466557,1
Oceania,Papua New Guinea,7958811,105136,7752553,0.0105136,0.07752553,2,1.321001,1
Africa,Liberia,2089065,93132,7851740,0.0093132,0.0785174,2,4.458071,1
Africa,Madagascar,19092257,371893,8335932,0.0371893,0.08335932,2,1.947873,1
North America,Cayman Islands,1377561,2118,8498839,0.0002118,0.08498839,1,0.15375,1
Europe,Faeroe Islands,1565171,2060,8612023,0.000206,0.08612023,1,0.131615,1
Africa,Democratic Republic of Congo,22058169,458229,8887535,0.0458229,0.08887535,2,2.077366,1
Oceania,French Polynesia,14037290,151822,8915915,0.0151822,0.08915915,2,1.081562,1
Africa,Comoros,1910678,60029,8950080,0.0060029,0.0895008,2,3.141764,1
Asia,Yemen,3374408,699525,8954613,0.0699525,0.08954613,4,20.730303,1
Africa,Burkina Faso,6464041,99564,9377185,0.0099564,0.09377185,2,1.540275,1
Africa,Congo,6792631,105501,9466554,0.0105501,0.09466554,2,1.553168,1
Oceania,New Caledonia,2428073,39861,9781918,0.0039861,0.09781918,2,1.641672,1
Africa,Guinea-Bissau,2540214,48557,10430724,0.0048557,0.10430724,2,1.911532,1
Africa,Sierra Leone,2733310,58696,10435692,0.0058696,0.10435692,2,2.147433,1
Africa,Tanzania,4674501,121009,11561245,0.0121009,0.11561245,2,2.588704,1
North America,Saint Lucia,3554286,61433,11938758,0.0061433,0.11938758,2,1.72842,1
Africa,Eswatini,15401221,403923,12400764,0.0403923,0.12400764,2,2.622669,1
Africa,Niger,2820557,105059,13089106,0.0105059,0.13089106,2,3.724761,1
Europe,Bosnia and Herzegovina,99807234,4286604,13550064,0.4286604,0.13550064,2,4.294883,1
Europe,Liechtenstein,1791211,26276,13977786,0.0026276,0.13977786,2,1.466941,1
Africa,Cape Verde,14581372,127634,14222132,0.0127634,0.14222132,1,0.875322,1
Africa,Benin,6498260,57136,15755359,0.0057136,0.15755359,1,0.879251,1
Europe,Gibraltar,2615931,38535,15794574,0.0038535,0.15794574,2,1.473089,1
